,filename,BBOX_Y2,BBOX_X1,BBOX_Y1,BBOX_X2,ClassID,TestSet,ClassName
0,000001.jpg,112,7,853,717,1,0,AM General Hummer SUV 2000
1,000002.jpg,48,24,441,202,1,0,AM General Hummer SUV 2000
2,000003.jpg,7,4,277,180,1,0,AM General Hummer SUV 2000
3,000004.jpg,33,50,197,150,1,0,AM General Hummer SUV 2000
4,000005.jpg,5,8,83,58,1,0,AM General Hummer SUV 2000
5,000006.jpg,10,6,250,110,1,0,AM General Hummer SUV 2000
6,000007.jpg,56,1,394,176,1,0,AM General Hummer SUV 2000
7,000008.jpg,1,13,113,83,1,0,AM General Hummer SUV 2000
8,000009.jpg,15,111,271,272,1,0,AM General Hummer SUV 2000
9,000010.jpg,14,18,148,107,1,0,AM General Hummer SUV 2000
10,000011.jpg,5,8,91,59,1,0,AM General Hummer SUV 2000
11,000012.jpg,29,18,157,86,1,0,AM General Hummer SUV 2000
12,000013.jpg,1,1,300,179,1,0,AM General Hummer SUV 2000
13,000014.jpg,9,1,152,103,1,0,AM General Hummer SUV 2000
14,000015.jpg,4,15,94,63,1,0,AM General Hummer SUV 2000
15,000016.jpg,12,16,117,71,1,0,AM General Hummer SUV 2000
16,000017.jpg,1,5,160,89,1,0,AM General Hummer SUV 2000
17,000018.jpg,46,84,661,428,1,0,AM General Hummer SUV 2000
18,000019.jpg,86,81,371,252,1,0,AM General Hummer SUV 2000
19,000020.jpg,26,32,677,418,1,0,AM General Hummer SUV 2000
20,000021.jpg,50,127,587,396,1,0,AM General Hummer SUV 2000
21,000022.jpg,6,9,124,89,1,0,AM General Hummer SUV 2000
22,000023.jpg,52,25,751,507,1,0,AM General Hummer SUV 2000
23,000024.jpg,3,23,132,98,1,0,AM General Hummer SUV 2000
24,000025.jpg,60,76,593,393,1,0,AM General Hummer SUV 2000
25,000026.jpg,21,18,492,316,1,0,AM General Hummer SUV 2000
26,000027.jpg,11,31,490,266,1,0,AM General Hummer SUV 2000
27,000028.jpg,8,3,135,86,1,0,AM General Hummer SUV 2000
28,000029.jpg,30,65,331,199,1,0,AM General Hummer SUV 2000
